class_label,layer,layer_label,feature_count,interaction_mean_corr,high_mean_corr,interaction_min_corr,interaction_max_corr,high_min_corr,high_max_corr,interaction_std_corr,high_std_corr,included_features
Volume / Exposure,full,ALL,2,0.12238982822525388,0.10871261832418042,0.11373714950616076,0.131042506944347,0.10788044488509496,0.10954479176326588,0.008652678719093115,0.000832173439085461,Full in-strength; Full in-degree
Volume / Exposure,pos8,POS8,2,0.08354271597813763,0.0946357388037441,0.08261565547431478,0.08446977648196048,0.09389492833174767,0.09537654927574053,0.0009270605038228519,0.0007408104719964295,Pos8 in-degree; Pos8 in-strength
Volume / Exposure,pos3,POS3,2,0.08197912628692615,0.029974417700998027,0.08036999933354298,0.08358825324030932,0.027777093651053547,0.032171741750942506,0.0016091269533831665,0.0021973240499444796,Pos3 in-strength; Pos3 in-degree
Prestige / Centrality,full,ALL,1,0.11962929950924432,0.12134521170740172,0.11962929950924432,0.11962929950924432,0.12134521170740172,0.12134521170740172,0.0,0.0,Full authority
Prestige / Centrality,pos8,POS8,1,0.08775356044896797,0.10301981256024362,0.08775356044896797,0.08775356044896797,0.10301981256024362,0.10301981256024362,0.0,0.0,Pos8 authority
Prestige / Centrality,pos3,POS3,1,0.06642925245948746,0.022212606955081222,0.06642925245948746,0.06642925245948746,0.022212606955081222,0.022212606955081222,0.0,0.0,Pos3 authority
Rank Signals,full,ALL,2,0.10850675852146469,0.10851760800004573,0.10017808854814902,0.11683542849478035,0.10229475831410707,0.11474045768598438,0.008328669973315661,0.006222849685938656,Full popularity rank; Full prestige rank
Rank Signals,pos8,POS8,2,0.08727087869391718,0.10677064892130925,0.07932838747867153,0.09521336990916283,0.09965542251798215,0.11388587532463636,0.00794249121524565,0.007115226403327103,Pos8 popularity rank; Pos8 prestige rank
Rank Signals,pos3,POS3,2,0.05910945025913612,0.027427736781217273,0.0472409274064973,0.07097797311177495,0.017325765566794032,0.03752970799564051,0.011868522852638824,0.010101971214423239,Pos3 popularity rank; Pos3 prestige rank
Rating Level,full,ALL,1,-0.014584369187671961,0.033964334581762005,-0.014584369187671961,-0.014584369187671961,0.033964334581762005,0.033964334581762005,0.0,0.0,Full mean rating
Rating Level,pos8,POS8,1,-0.030738586631657266,-0.011190737326361064,-0.030738586631657266,-0.030738586631657266,-0.011190737326361064,-0.011190737326361064,0.0,0.0,Pos8 mean rating
Rating Level,pos3,POS3,1,0.004875883936515969,0.007473937134645683,0.004875883936515969,0.004875883936515969,0.007473937134645683,0.007473937134645683,0.0,0.0,Pos3 mean rating
Gap / Misalignment,full,ALL,1,-0.03084599780672387,-0.02302145274234313,-0.03084599780672387,-0.03084599780672387,-0.02302145274234313,-0.02302145274234313,0.0,0.0,Full prestige gap
Gap / Misalignment,pos8,POS8,1,-0.0246328223210925,-0.021937965679424593,-0.0246328223210925,-0.0246328223210925,-0.021937965679424593,-0.021937965679424593,0.0,0.0,Pos8 prestige gap
Gap / Misalignment,pos3,POS3,1,-0.03437326064558888,-0.02928374135600347,-0.03437326064558888,-0.03437326064558888,-0.02928374135600347,-0.02928374135600347,0.0,0.0,Pos3 prestige gap
