profile_id,total_received,high_received,low_received,mean_rating,high_share_within_profile,low_share_within_profile,rank
606,33389,33384,0,9.99613645212495,0.9998502500823625,0.0,1
320,23649,21899,2,8.296756733899953,0.9260010994122373,8.457017210030022e-05,2
228,23639,21791,778,9.502347815051397,0.9218241042345277,0.03291171369347265,3
4963,21284,21283,0,9.980689719977448,0.9999530163503101,0.0,4
48,21387,21202,170,9.923177631271333,0.9913498854444288,0.007948753915930237,5
1440,28398,18249,664,7.790583843932671,0.6426156771603634,0.023381928304810198,6
44,18550,15384,3,8.234609164420485,0.8293261455525607,0.00016172506738544473,7
1477,16049,14094,1951,8.546326873948532,0.8781855567325066,0.12156520655492555,8
8066,13485,13300,1,8.064367816091954,0.9862810530218762,7.415647015202076e-05,9
220,13190,12801,0,7.981349507202426,0.970507960576194,0.0,10
20,12185,12143,38,9.961181780878128,0.9965531391054575,0.0031185884283955684,11
4485,11620,11574,0,9.860585197934595,0.9960413080895009,0.0,12
130,11600,11503,34,9.94956896551724,0.9916379310344827,0.0029310344827586207,13
60,12576,11121,14,8.98449427480916,0.8843034351145038,0.0011132315521628498,14
5527,11117,10849,168,9.592156157236664,0.975892776828281,0.015111990644958172,15
422,10811,10734,27,9.943853482564055,0.9928776246415688,0.002497456294514846,16
483,10398,10338,49,9.953741104058473,0.9942296595499135,0.00471244470090402,17
123,10017,10013,4,9.968852949985026,0.9996006788459618,0.0003993211540381352,18
5088,11538,9991,1,8.152886115444618,0.8659213035188075,8.667013347200555e-05,19
2246,9694,9683,10,9.988652774912318,0.9988652774912317,0.0010315659170621002,20
359,9673,9671,0,9.998242530755713,0.9997932389124367,0.0,21
6355,13308,9229,2410,7.727306883077848,0.693492636008416,0.1810940787496243,22
691,9235,9152,5,9.965349214943151,0.9910124526258798,0.0005414185165132648,23
432,8832,8740,79,9.900249094202898,0.9895833333333334,0.008944746376811594,24
3112,8729,8725,0,9.998510711421698,0.9995417573605224,0.0,25
